slot_id,name_simplified,name_traditional,biography,source_affinity
118,颜良,顏良,袁紹名將，白馬之戰為關羽所斬。,102
119,魏延,魏延,蜀漢名將，長期鎮守漢中。,81
120,曲义,麴義,漢末北方勢力人物，史料記載較少。,99
121,戏志才,戲志才,潁川（治今河南省禹州市）人。,22
122,魏续,魏續,東漢末年武將，是呂布部將，隨呂布轉戰各地。,147
123,魏邈,魏邈,東吳相關人物，史料記載較少。,129
124,魏攸,魏攸,漢末北方勢力人物，史料記載較少。,96
125,牛金,牛金,東漢末年至曹魏時期武將。,27
126,丘建,丘建,魏國武將，是鍾會的心腹，在263年魏滅漢之戰中擔任鍾會的帳下督，隨鍾會出征。,33
127,牛辅,牛輔,東漢末年政治人物和武將，董卓的女婿。,1
128,丘本,丘本,丘本，《三國演義》中出現的虛構人物，在魏滅漢之戰中擔任鄧艾的監軍（正史中監軍是衛瓘）。,41
129,姜维,姜維,蜀漢後期主將，多次北伐曹魏。,73
130,巩志,鞏志,蜀漢相關人物，史料記載較少。,83
131,桥蕤,橋蕤,東漢末年人物，袁術部下，被袁術封為大將軍。,137
132,龚都,龔都,蜀漢相關人物，史料記載較少。,74
133,桥瑁,橋瑁,東漢末東郡太守，參與討董聯軍。,9
134,许仪,許儀,曹魏或西晉相關人物，史料記載較少。,23
135,许贡,許貢,漢末群雄相關人物，史料記載較少。,139
136,许靖,許靖,漢末北方勢力人物，史料記載較少。,87
137,许褚,許褚,曹操近衛猛將，號稱「虎癡」。,25
138,许攸,許攸,曹魏或西晉相關人物，史料記載較少。,21
139,纪灵,紀靈,紀靈，東漢末年人物，袁術部下。,140
140,金环三结,金環三結,蜀漢相關人物，史料記載較少。,62
141,金旋,金旋,益州或南中相關人物，史料記載較少。,46
142,虞汜,虞汜,東吳相關人物，史料記載較少。,122
143,虞翻,虞翻,東吳相關人物，史料記載較少。,122
144,邢道荣,邢道榮,漢末相關人物，史料記載較少。,12
145,郄正,郤正,蜀漢相關人物，史料記載較少。,80
146,严颜,嚴顏,效力於劉焉、劉璋。,69
147,牵弘,牽弘,曹魏或西晉相關人物，史料記載較少。,40
148,严纲,嚴綱,東漢末期人物。,64
149,严畯,嚴畯,東吳相關人物，史料記載較少。,121
150,严政,嚴政,黃巾將領，後殺張寶降漢。,7
151,严白虎,嚴白虎,以字行，吳郡烏程縣人。,10
152,严舆,嚴輿,是當時在吳郡一帶作亂的山賊，嚴白虎的弟弟。,10
153,吴懿,吳懿,三國志作「吳壹」，一說為避司馬懿諱。,69
154,句安,句安,原是蜀漢的牙門將軍。,73
155,黄盖,黃蓋,東吳宿將，赤壁之戰以苦肉計聞名。,127
156,高干,高幹,漢末北方勢力人物，史料記載較少。,101
157,黄权,黃權,益州或南中相關人物，史料記載較少。,56
158,黄皓,黃皓,益州或南中相關人物，史料記載較少。,50
159,高柔,高柔,漢末北方勢力人物，史料記載較少。,101
160,高顺,高順,呂布部將，統率精銳陷陣營。,144
161,高翔,高翔,蜀漢相關人物，史料記載較少。,69
162,高升,高昇,漢末相關人物，史料記載較少。,7
163,黄崇,黃崇,益州或南中相關人物，史料記載較少。,56
164,侯成,侯成,東漢末期人物，呂布騎將，隨呂布轉戰各地。,147
165,侯选,侯選,河東人。,48
166,黄祖,黃祖,曹魏或西晉相關人物，史料記載較少。,45
167,公孙越,公孫越,蜀漢相關人物，史料記載較少。,65
168,公孙渊,公孫淵,三國時期燕國的開國君主。,10
169,公孙恭,公孫恭,公孫恭，東漢末三國初年人物。,142
170,公孙康,公孫康,遼東郡襄平縣（今遼寧省遼陽市區）人。,142
171,公孙瓒,公孫瓚,漢末幽州軍閥，以白馬義從聞名。,65
172,公孙续,公孫續,東漢末期人物，公孫瓚之子。,65
173,公孙度,公孫度,幼名阿豹，幽州遼東襄平人，東漢末年割據於遼東地區的軍閥。,142
174,公孙范,公孫範,東漢末期人物，公孫瓚從弟。,65
175,孔侑,孔伷,一作「冑」，字公緒。,35
176,黄忠,黃忠,蜀漢名將，定軍山斬夏侯淵。,72
177,高定,高定,蜀漢相關人物，史料記載較少。,63
178,高沛,高沛,益州或南中相關人物，史料記載較少。,53
179,皇甫闿,皇甫闓,漢末北方勢力人物，史料記載較少。,88
180,皇甫嵩,皇甫嵩,安定郡朝那縣（今寧夏回族自治區固原市彭陽縣，另一說為今甘肅省慶陽市鎮原縣）人，東漢末年名將。,88
181,孔融,孔融,東漢末文學家，建安七子之一，孔子二十代孫，高祖父孔尚，鉅鹿太守。,43
182,高览,高覽,曹魏或西晉相關人物，史料記載較少。,27
183,胡渊,胡淵,曹魏或西晉相關人物，史料記載較少。,30
184,伍延,伍延,東吳相關人物，史料記載較少。,126
185,吴巨,吳巨,東漢末年政治人物，官至蒼梧太守，與劉備為舊識。,39
186,吾彦,吾彥,吳郡吳縣人。,128
187,吴纲,吳綱,東吳相關人物，史料記載較少。,133
188,胡济,胡濟,三國時代蜀漢武將，義陽郡義陽縣人，曾參加諸葛亮之北伐，為人忠厚老實，常常助言。,76
189,吾粲,吾粲,吳郡烏程人。,126
190,胡质,胡質,壽春人，東漢末及三國時曹魏官員。,29
191,吴质,吳質,三國魏濟陰（今山東省定陶縣）人。,19
192,胡车儿,胡車兒,東漢末期人物，張繡的部下。,148
193,胡遵,胡遵,曹魏或西晉相關人物，史料記載較少。,20
194,胡轸,胡軫,東漢末年董卓手下的將領，領東郡太守，與同為涼州出身的楊定同為涼州大人。,149
195,顾谭,顧譚,東吳相關人物，史料記載較少。,120
196,胡冲,胡沖,東吳相關人物，史料記載較少。,131
197,兀突骨,兀突骨,兀突骨，《三國演義》虛構人物，不見於正史記載，南蠻烏戈國之主，是身長十二尺的巨漢，不食五穀。,51
198,胡班,胡班,胡班，是《三國演義》中的虛構人物，漢桓帝時議郎胡華之子。,76
199,吴班,吳班,陳留人，蜀漢官員。,72
200,胡奋,胡奮,曹魏或西晉相關人物，史料記載較少。,20
201,顾雍,顧雍,東吳相關人物，史料記載較少。,120
202,吴兰,吳蘭,益州或南中相關人物，史料記載較少。,59
203,胡烈,胡烈,曹魏和西晉時期名將。,30
204,崔琰,崔琰,司空崔林堂兄，原屬袁紹，後屬曹操。,20
205,蔡和,蔡和,曹魏或西晉相關人物，史料記載較少。,36
206,蔡贡,蔡貢,東吳相關人物，史料記載較少。,122
207,蔡中,蔡中,曹魏或西晉相關人物，史料記載較少。,36
208,蔡瑁,蔡瑁,曹魏或西晉相關人物，史料記載較少。,36
209,左奕,左奕,東吳相關人物，史料記載較少。,122
210,笮融,笮融,漢末相關人物，史料記載較少。,11
211,施朔,施朔,東吳相關人物，史料記載較少。,129
212,师纂,師纂,三國時期曹魏將領。,41
213,司马懿,司馬懿,曹魏重臣，西晉王朝的奠基者之一。,31
214,司马炎,司馬炎,司馬昭之子，建立西晉並滅吳。,31
215,司马师,司馬師,司馬懿長子，曹魏後期權臣。,31
216,司马昭,司馬昭,司馬懿次子，掌魏國朝政。,31
217,司马侑,司馬伷,三國時期魏國至西晉的將領，司馬懿第四子，母伏夫人，是司馬師、司馬昭、司馬榦之異母兄弟。,31
218,司马孚,司馬孚,西晉諸侯王，司馬懿三弟。,24
219,司马望,司馬望,西晉太宰、持節、都督中外諸軍事、安平獻王司馬孚次子，西晉宗室、官員。,24
220,司马攸,司馬攸,小字桃符，河內郡溫縣（今河南省焦作市溫縣 ）人，三國時曹魏大臣及西晉宗室。,30
221,司马朗,司馬朗,東漢末年政治家，官至兗州刺史。,20
222,谢旌,謝旌,東吳相關人物，史料記載較少。,132
223,车胄,車胄,曹魏或西晉相關人物，史料記載較少。,21
224,沙摩柯,沙摩柯,三國時期武陵郡五谿蠻首領，在夷陵之戰中相助蜀軍作戰，陣亡。,71
225,朱异,朱異,吳郡吳縣人。,128
226,修允,脩允,東吳相關人物，史料記載較少。,128
227,周昕,周昕,會稽人，東漢末年三國時期人物。,11
228,周旨,周旨,周旨，晉初伐吳時為牙門將。,32
229,周浚,周浚,汝南安城人。,33
230,周仓,周倉,周倉，字元福，是《三國演義》中的人物，是關羽（關公）的部將，得知關羽父子遇害之後，自盡殉難。,75
231,修则,脩則,東吳相關人物，史料記載較少。,128
232,周泰,周泰,東吳猛將，多次護衛孫權。,126
233,州泰,州泰,表字不詳，荊州南陽郡人。,41
234,周鲂,周魴,陽羨（今中國江蘇宜興）人，三國時東吳鄱陽太守，「除三害」的周處為周魴之子。,118
235,周瑜,周瑜,東吳名將，赤壁之戰主帥。,125
236,朱桓,朱桓,東漢末至三國時代孫吳勢力的重要武將。,128
237,朱据,朱據,吳郡吳縣（今江蘇省蘇州市 ）人。,128
238,祝融,祝融,《三國演義》虛構女將，孟獲之妻。,60
239,朱儁,朱儁,（?—195年），字公偉，會稽郡上虞縣人（今浙江省紹興市境）。,88
240,朱然,朱然,本名施然，揚州丹陽郡故鄣（今浙江安吉）人。,126
241,朱治,朱治,丹楊故鄣人，三國時代東吳重要將領，孫策在建立基業征伐江東時，照顧孫家一家。,126
242,朱褒,朱褒,以牂牁郡丞領牂牁太守。,52
243,朱灵,朱靈,曹魏或西晉相關人物，史料記載較少。,36
244,荀彧,荀彧,曹操首席政務謀臣，協助迎奉漢帝。,22
245,淳于琼,淳于瓊,漢末北方勢力人物，史料記載較少。,95
246,荀恺,荀愷,曹魏或西晉相關人物，史料記載較少。,19
247,荀顗,荀顗,曹魏或西晉相關人物，史料記載較少。,31
248,荀勖,荀勗,勗（ㄒㄩˋ）（3世紀—289年），亦作荀勖，字公曾，潁川潁陰（今河南許昌）人。,31
249,荀谌,荀諶,蜀漢相關人物，史料記載較少。,85
250,荀攸,荀攸,曹操重要軍師，長於軍事謀略。,22
251,焦彝,焦彝,東吳相關人物，史料記載較少。,135
252,钟毓,鍾毓,曹魏或西晉相關人物，史料記載較少。,22
253,蒋琬,蔣琬,諸葛亮後繼者之一，主持蜀漢政務。,78
254,钟会,鍾會,曹魏將領，參與滅蜀後起兵失敗。,20
255,蒋干,蔣幹,曹魏或西晉相關人物，史料記載較少。,34
256,蒋义渠,蔣義渠,漢末北方勢力人物，史料記載較少。,104
257,蒋钦,蔣欽,東吳將領，早年隨孫策平定江東。,126
258,蒋显,蔣顯,零陵湘鄉（今湖南湘鄉）人，三國蜀漢大臣，蜀漢名臣蔣琬次子，蔣斌之弟。,78
259,蒋济,蔣濟,曹魏或西晉相關人物，史料記載較少。,32
260,谯周,譙周,蜀漢相關人物，史料記載較少。,66
261,蒋舒,蔣舒,蜀漢相關人物，史料記載較少。,62
262,向宠,向寵,襄陽宜城人，三國時蜀漢將領。,79
263,邵悌,邵悌,曹魏或西晉相關人物，史料記載較少。,31
264,蒋班,蔣班,東吳相關人物，史料記載較少。,135
265,蒋斌,蔣斌,蜀漢相關人物，史料記載較少。,78
266,钟繇,鍾繇,曹魏或西晉相關人物，史料記載較少。,22
267,钟离斐,鍾離斐,東吳相關人物，史料記載較少。,123
268,向朗,向朗,襄陽宜城人，三國時期蜀漢大臣、藏書家。,79
269,徐荣,徐榮,漢末群雄相關人物，史料記載較少。,142
270,诸葛恪,諸葛恪,東吳權臣，北伐失利後被誅。,121
271,诸葛瑾,諸葛瑾,東吳重臣，諸葛亮之兄。,121
272,诸葛均,諸葛均,琅琊陽都人，三國時期蜀漢官員，諸葛瑾、諸葛亮之弟。,76
273,诸葛绪,諸葛緒,曹魏或西晉相關人物，史料記載較少。,40
274,诸葛尚,諸葛尚,蜀漢相關人物，史料記載較少。,75
275,诸葛靓,諸葛靚,東吳相關人物，史料記載較少。,135
276,诸葛瞻,諸葛瞻,蜀漢相關人物，史料記載較少。,75
277,诸葛诞,諸葛誕,曹魏將領，壽春起兵反司馬氏失敗。,135
278,诸葛亮,諸葛亮,蜀漢丞相，輔政北伐，號臥龍。,75
279,徐晃,徐晃,曹魏名將，樊城之戰解圍有功。,23
280,徐质,徐質,三國時曹魏後期將領。,23
281,徐庶,徐庶,劉備早期謀士，後仕曹魏。,75
282,徐盛,徐盛,三國時代東吳重要武將；是江東十二虎臣之一。,124
283,徐邈,徐邈,曹魏或西晉相關人物，史料記載較少。,35
284,沉莹,沈瑩,東吳相關人物，史料記載較少。,126
285,申仪,申儀,曹魏或西晉相關人物，史料記載較少。,37
286,岑昏,岑昏,南陽郡棘陽縣人。,114
287,辛敞,辛敞,曹魏或西晉相關人物，史料記載較少。,29
288,申耽,申耽,曹魏或西晉相關人物，史料記載較少。,37
289,审配,審配,東漢末期人物。,101
290,辛毗,辛毗,曹魏或西晉相關人物，史料記載較少。,29
291,辛评,辛評,蜀漢相關人物，史料記載較少。,85
292,秦宓,秦宓,（194年前—226年），字子敕，廣漢郡綿竹人。,66
293,秦朗,秦朗,曹魏或西晉相關人物，史料記載較少。,25
294,眭固,眭固,東漢末期人物。,8
295,邹靖,鄒靖,蜀漢相關人物，史料記載較少。,71
296,邹丹,鄒丹,蜀漢相關人物，史料記載較少。,65
297,成宜,成宜,東漢末年涼州武將。,69
298,盛曼,盛曼,東吳相關人物，史料記載較少。,126
299,石苞,石苞,曹魏或西晉相關人物，史料記載較少。,32
300,薛莹,薛瑩,東吳相關人物，史料記載較少。,131
301,薛珝,薛珝,東吳相關人物，史料記載較少。,128
302,薛综,薛綜,東吳相關人物，史料記載較少。,128
303,全祎,全禕,東吳相關人物，史料記載較少。,130
304,全怿,全懌,全琮與孫魯班之子。,130
305,全纪,全紀,三國末年吳國黃門侍郎。,128
306,单经,單經,東漢末期人物。,64
307,全尚,全尚,揚州吳郡錢唐人。,128
308,全琮,全琮,三國時東吳的重要將領，為人謙恭而有謀，常以國家為重。,128
309,全端,全端,全琮從子。,130
310,曹宇,曹宇,曹魏或西晉相關人物，史料記載較少。,26
311,曹叡,曹叡,（204年—239年1月22日），字元仲，豫州沛國譙縣（今安徽省亳州市）人。,25
312,曹奂,曹奐,曹魏或西晉相關人物，史料記載較少。,26
313,曹羲,曹羲,三國時期魏國之臣，魏國重臣曹真之子，大將軍曹爽之弟，曹訓、曹彥之兄，封安鄉侯。,19
314,曹休,曹休,曹魏的重要將領；曹操的族子，視如已出。,26
315,曹训,曹訓,曹真之子，曹爽之弟。,19
316,宋宪,宋憲,東漢末年武將，早期為呂布部將，隨呂布轉戰各地。,147
317,宋谦,宋謙,表字及籍貫皆不詳，東漢末及三國時東吳將領。,123
318,曹昂,曹昂,曹魏或西晉相關人物，史料記載較少。,25
319,曹洪,曹洪,曹魏或西晉相關人物，史料記載較少。,24
320,曹纯,曹純,曹魏或西晉相關人物，史料記載較少。,25
321,曹彰,曹彰,曹魏或西晉相關人物，史料記載較少。,25
322,曹植,曹植,曹操之子，建安文學代表詩人。,25
323,曹真,曹真,曹魏或西晉相關人物，史料記載較少。,26
324,曹仁,曹仁,曹操從弟，曹魏名將。,25
325,曹性,曹性,中國東漢末年軍事人物，為呂布部下。,147
326,曹操,曹操,曹魏奠基者，漢末政治家、軍事家。,25
327,曹爽,曹爽,小字默，沛國譙縣（今安徽亳州）人，曹真之子，曹操侄孫、夏侯玄的表哥。,19
328,曹冲,曹沖,曹魏或西晉相關人物，史料記載較少。,25
329,臧霸,臧霸,曹魏或西晉相關人物，史料記載較少。,17
330,曹丕,曹丕,曹操之子，篡漢建立曹魏。,26
331,曹豹,曹豹,東漢末期人物，原本是陶謙的故將，陶謙死後屬劉備，為下邳相。,84
332,曹芳,曹芳,曹魏或西晉相關人物，史料記載較少。,26
333,曹髦,曹髦,曹魏或西晉相關人物，史料記載較少。,24
334,曹熊,曹熊,曹魏或西晉相關人物，史料記載較少。,25
335,沮鹄,沮鵠,沮授之子，袁紹的屬下。,96
336,沮授,沮授,東漢末年謀士，五帝時黃帝的史官沮誦之後，原為韓馥麾下謀士，袁紹破冀州後成為其重要謀臣。,96
337,苏飞,蘇飛,東吳相關人物，史料記載較少。,129
338,祖茂,祖茂,東吳相關人物，史料記載較少。,127
339,苏由,蘇由,益州或南中相關人物，史料記載較少。,46
340,孙异,孫異,東吳皇族，中國三國武將。,122
341,孙和,孫和,是中國三國時期吳國第一位皇帝孫權的第三子，也是吳國最後一位皇帝孫皓的父親。,125
342,孙桓,孫桓,孫河的三子，是東漢末期及三國時期東吳宗室將領。,127
343,孙冀,孫冀,東吳相關人物，史料記載較少。,116
344,孙休,孫休,為孫權第六子，在父親孫權、弟孫亮後繼任為吳國皇帝，在位六年。,125
345,孙匡,孫匡,長沙太守孫堅與吳夫人第四子，長沙桓王孫策、吳大帝孫權及丹楊太守孫翊之弟。,125
346,孙歆,孫欽,東吳相關人物，史料記載較少。,117
347,孙坚,孫堅,孫吳政權奠基者之一，號江東猛虎。,126
348,孙干,孫乾,青州北海人。,76
349,孙权,孫權,東吳開國皇帝，長期統治江東。,125
350,孙皓,孫皓,東吳末代皇帝，晉滅吳後投降。,114
351,孙策,孫策,孫堅長子，奠定孫氏江東基業。,125
352,孙秀,孫秀,東吳相關人物，史料記載較少。,130
353,孙述,孫述,東吳相關人物，史料記載較少。,130
354,孙峻,孫峻,吳廢帝孫亮時東吳權臣。,115
355,孙韶,孫韶,原姓為俞，字公禮，東漢吳郡富春人，其（表）伯父是孫河。,124
356,孙尚香,孫尚香,蜀漢相關人物，史料記載較少。,75
357,孙震,孫震,東吳相關人物，史料記載較少。,125
358,孙静,孫靜,東吳相關人物，史料記載較少。,126
359,孙仲,孫仲,黃巾將領，《演義》中曾守宛城。,7
360,孙綝,孫綝,東吳相關人物，史料記載較少。,115
361,孙登,孫登,東吳相關人物，史料記載較少。,125
362,孙霸,孫霸,三國時東吳皇子。,130
363,孙瑜,孫瑜,東吳相關人物，史料記載較少。,125
364,孙翊,孫翊,一名孫儼，字叔弼，吳郡富春（今浙江杭州富陽）人。,125
365,孙亮,孫亮,是中國三國時代吳國君主，在位六年（252年-258年）。,125
366,孙礼,孫禮,三國時曹魏將領。,20
367,孙朗,孫朗,東吳相關人物，史料記載較少。,125
368,孙潬,孫𩅦（雨下單）,（？—265年），字莔，三國東吳景帝孫休的長子。,125
369,太史享,太史享,三國時代東吳武將，為東漢末年將領太史慈之子。,124
370,太史慈,太史慈,東吳名將，早年曾事劉繇。,124
371,带来洞主,帶來洞主,帶來洞主，中國古典通俗歷史小説《三國演義》登場的虛構人物。,60
372,戴陵,戴陵,曹魏或西晉相關人物，史料記載較少。,28
373,朵思大王,朵思大王,朵思大王是《三國演義》中的南蠻人，禿龍洞洞主，南蠻第一智者，是《三國演義》中的虛構人物。,60
374,谭雄,譚雄,東吳相關人物，史料記載較少。,132
375,张允,張允,歷史上有三個人名為張允：。,36
376,赵云,趙雲,蜀漢名將，以長坂救主聞名。,75
377,张卫,張衛,漢末相關人物，史料記載較少。,15
378,张英,張英,漢末相關人物，史料記載較少。,11
379,张颍,張穎,曹魏或西晉相關人物，史料記載較少。,28
380,张燕,張燕,漢末相關人物，史料記載較少。,8
381,张横,張橫,益州或南中相關人物，史料記載較少。,48
382,张温,張溫,東吳相關人物，史料記載較少。,118
383,张华,張華,曹魏或西晉相關人物，史料記載較少。,31
384,张闿,張闓,陶謙部將，殺害曹操之父曹嵩。,7
385,张角,張角,黃巾之亂領袖，自號「大賢良師」。,7
386,张既,張既,馮翊高陵人。,21
387,张休,張休,東吳相關人物，史料記載較少。,120
388,张球,張球,曹魏或西晉相關人物，史料記載較少。,29
389,张乔,張喬,曹魏或西晉相關人物，史料記載較少。,33
390,张嶷,張嶷,（約200年—254年），字伯岐，益州巴郡南充國（今四川省南充市）人，三國時期蜀漢將領。,68
391,张勋,張勳,原名張和，字少軒，號松壽老人，中國江西南昌府奉新縣赤田村人。,141
392,张俨,張儼,東吳相關人物，史料記載較少。,126
393,张虎,張虎,曹魏或西晉相關人物，史料記載較少。,23
